,km_Driven,Fuel_Type,Owner_Type,Engine CC,Power(bhp),Seats,Mileage Km/L,Price,No of Years,Transmission_Manual
68,63.0,1,0,1248,88.5,7,24.52,8.15,6,1
69,13.0,1,0,1396,88.7,5,22.1,10.5,4,1
71,55.729,1,0,2179,140.0,7,15.1,9.65,7,1
72,45.178,3,0,1197,78.9,5,16.95,3.48,10,0
73,56.066,1,0,1461,108.5,5,19.64,6.92,7,1
74,37.3,3,2,1198,86.8,5,16.5,6.46,6,0
75,56.0,1,2,1968,187.74,5,18.53,29.5,8,0
76,111.111,1,0,1399,74.0,5,17.8,2.0,14,1
77,230.0,3,3,1998,132.0,8,12.4,4.5,16,1
78,104.0,1,0,2494,102.0,7,12.8,11.75,10,1
80,95.1,1,0,1248,74.0,5,22.9,3.75,10,1
81,70.0,3,0,1193,88.7,5,17.57,4.5,5,1
82,54.944,3,0,1198,86.7,5,18.0,4.82,6,1
83,70.337,1,0,1399,68.0,5,20.0,2.8,10,1
84,99.638,1,0,1248,73.94,5,23.2,3.11,9,1
85,52.0,3,0,1497,117.3,5,17.8,3.25,13,1
86,75.0,1,2,1995,218.0,5,16.73,13.9,11,0
87,95.98,3,0,1197,78.9,5,20.36,2.25,13,1
88,16.0,3,0,1197,82.0,5,18.9,5.75,6,1
89,73.745,3,0,1086,74.0,5,17.0,2.1,15,1
90,18.949,3,0,1198,86.7,5,17.8,5.0,6,1
91,107.0,1,0,2982,168.5,7,13.0,16.5,8,1
92,48.367,1,0,1968,174.33,5,17.68,39.58,4,0
93,57.0,1,0,1498,89.84,5,22.7,5.5,9,1
94,58.0,1,0,2179,140.0,7,15.1,8.1,8,1
95,30.0,1,0,1498,98.6,5,25.8,3.5,7,1
96,34.212,1,0,1199,73.9,5,22.07,2.79,9,1
97,70.002,1,0,1493,110.0,5,16.2,3.45,12,1
98,62.0,3,0,998,67.1,5,18.9,4.45,6,1
99,62.001,3,0,1598,103.5,5,15.26,2.65,12,1
100,78.958,1,2,1396,90.0,5,23.0,3.8,11,1
101,30.18,3,0,1197,82.85,5,18.5,4.65,8,1
102,32.851,3,0,1198,67.0,7,19.83,3.95,5,1
103,30.0,1,0,2967,241.4,5,14.94,9.8,12,0
104,66.0,3,2,1197,80.0,5,17.0,2.7,13,1
105,93.85,3,0,796,35.0,5,14.0,2.41,12,1
106,53.0,3,0,1197,78.9,5,17.71,3.9,8,1
107,78.0,1,2,2993,270.9,5,14.74,24.0,11,0
108,65.0,1,2,2179,140.0,7,16.0,5.75,10,1
109,40.0,1,0,1582,126.32,5,22.32,5.25,8,0
110,30.0,1,0,2755,171.5,7,11.36,19.25,5,0
111,38.053,3,0,1196,73.0,5,15.1,3.91,5,1
112,25.5,3,0,624,37.5,4,25.4,2.15,8,1
113,56.087,1,0,1995,190.0,5,22.69,20.75,7,0
114,71.088,3,0,1799,130.0,5,13.5,3.35,12,1
115,55.0,1,0,2494,100.6,7,12.99,11.11,8,1
116,32.7,1,0,1984,150.0,5,23.3,20.0,8,0
117,39.882,3,0,1198,75.94,5,19.15,6.55,6,0
118,128.0,3,0,2497,215.0,5,10.8,7.0,13,0
119,55.0,1,0,1248,88.5,5,24.3,7.5,6,1
120,102.0,3,2,1086,74.0,5,17.0,0.85,17,1
121,53.753,1,2,2143,107.3,5,15.0,16.75,8,0
122,10.25,1,0,1582,126.2,5,22.0,10.95,4,1
123,43.874,3,0,998,67.1,5,18.9,2.45,11,1
124,32.684,3,0,624,37.48,4,21.9,3.23,5,0
125,42.0,1,0,2179,120.0,8,12.05,7.75,8,1
126,28.352,3,0,1796,178.0,5,11.7,9.35,13,0
127,89.9,0,0,998,58.16,5,26.6,3.25,9,1
128,47.7,3,2,2354,152.0,5,10.8,5.25,15,1
129,55.0,1,0,1498,103.2,5,21.21,7.25,7,0
130,44.285,3,0,1373,91.1,5,20.73,7.47,5,1
131,54.0,1,0,2179,140.0,7,16.0,13.25,6,0
132,30.232,3,0,1197,85.8,5,21.1,5.81,6,1
133,88.5,3,0,998,67.1,5,24.07,2.6,8,1
135,12.645,3,0,1591,121.3,5,17.0,11.5,3,0
136,94.385,3,2,796,46.3,5,19.7,1.6,12,1
137,31.821,1,0,1995,143.0,5,20.58,17.22,7,0
138,12.0,3,0,1199,88.7,5,19.0,6.0,7,0
139,88.578,3,0,1799,130.0,5,13.5,3.95,10,1
140,44.965,1,0,2143,170.0,5,19.27,17.95,8,0
141,45.044,1,0,1498,98.6,5,25.8,3.7,8,1
142,34.204,3,0,1197,81.8,5,22.0,5.43,6,1
143,80.759,3,3,1086,74.0,5,17.0,1.67,14,1
144,91.235,1,0,2982,171.0,7,11.5,13.49,10,1
145,38.8,3,0,1199,76.8,5,18.6,2.85,8,1
146,83.0,1,0,1498,103.52,5,21.14,4.75,9,1
147,41.283,3,0,1373,91.1,5,20.73,9.9,4,1
149,48.0,1,0,1995,190.0,5,21.76,26.5,8,0
150,48.214,1,0,1968,174.33,5,17.11,23.32,7,0
151,35.0,1,0,1248,74.0,5,22.9,6.25,6,1
153,54.62,1,0,1498,103.52,5,21.66,9.86,6,0
154,136.997,1,0,1968,138.1,5,17.2,8.5,10,0
155,14.322,3,0,814,55.2,5,21.1,4.23,3,1
156,65.634,1,0,1199,73.9,5,22.07,3.5,10,1
157,6.0,3,0,1198,67.06,5,20.63,2.5,6,1
158,33.28,3,0,1198,86.8,5,19.4,2.39,9,1
159,29.0,3,0,1595,120.7,5,14.8,11.25,9,0
160,42.831,1,0,1498,98.6,5,26.0,7.11,7,1
161,90.0,1,0,2494,100.6,7,12.99,10.9,6,1
162,24.005,3,0,1197,81.8,5,20.4,6.2,5,1
163,32.792,1,0,2179,140.0,7,15.1,7.9,10,1
164,147.898,1,0,1498,89.84,5,22.7,4.42,8,1
165,131.765,1,0,2982,168.5,7,13.0,13.5,10,1
166,65.0,1,0,1498,108.5,5,21.5,6.25,9,0
167,66.123,1,2,1399,68.0,5,20.0,2.1,12,1
168,41.0,1,0,2993,258.0,5,15.3,45.0,7,0
169,23.55,1,0,2143,167.62,5,19.27,33.66,5,0
170,45.0,3,2,1198,86.8,5,19.4,3.65,10,1
171,60.0,3,0,1197,78.9,5,20.36,2.75,9,1
172,44.414,1,0,2143,170.0,5,17.9,42.5,6,0
173,1.0,3,0,1197,81.86,5,18.9,6.5,3,1
174,62.5,1,2,1968,174.33,5,17.68,19.0,10,0
175,21.0,3,2,1598,103.6,5,14.4,4.45,9,0
176,8.525,1,2,1998,112.0,5,16.6,23.0,5,0
177,29.0,1,0,1396,88.73,5,22.54,8.35,8,1
178,40.0,1,0,1968,174.33,5,17.68,22.95,8,0
179,88.0,1,0,936,57.6,5,25.44,1.5,10,1
180,53.537,3,0,1798,157.75,5,13.7,6.89,10,0
181,216.0,1,2,1399,68.0,5,17.8,1.45,16,1
182,51.0,1,0,1995,190.0,5,22.48,33.5,8,0
183,118.5,3,0,1598,102.5,5,12.9,1.25,15,1
184,63.0,1,0,1199,73.9,5,22.07,4.2,10,1
185,25.0,1,0,1461,108.5,8,19.98,6.75,7,1
186,37.382,1,0,2143,201.1,5,13.0,32.0,8,0
187,24.773,3,0,1197,83.1,5,21.4,7.5,5,1
188,62.0,1,0,1582,126.32,5,22.32,4.6,10,1
189,52.34,3,0,1086,68.05,5,19.81,4.04,5,1
190,56.739,1,0,1997,120.0,7,15.4,10.31,6,1
191,36.091,1,0,2179,187.7,5,12.7,55.76,4,0
192,120.0,1,0,1399,68.0,5,20.0,2.6,12,1
193,33.0,1,0,1248,88.5,7,25.47,8.5,6,1
194,52.0,1,0,1498,98.6,5,25.8,3.5,8,1
195,43.571,3,0,1197,78.9,5,20.36,3.55,7,1
196,50.0,1,0,1498,98.6,5,25.8,3.25,9,1
197,113.0,1,0,1896,106.0,5,17.5,4.5,14,1
198,90.0,1,0,1461,83.8,5,19.87,5.35,8,1
199,29.0,1,2,1493,100.0,7,17.45,6.5,5,1
200,20.0,1,0,1248,88.5,5,24.3,9.0,6,1
201,61.012,3,0,1197,81.83,5,18.6,6.0,6,1
202,87.459,3,0,1390,85.0,5,14.7,2.75,13,1
203,70.5,3,0,1193,64.1,5,15.64,1.5,12,1
204,64.103,1,0,1968,174.33,5,15.73,19.9,7,0
205,76.0,3,0,1798,177.5,5,14.7,10.0,8,0
206,104.0,1,0,1364,67.06,5,23.59,3.0,8,1
207,37.245,3,0,1595,120.7,5,14.8,11.96,8,0
208,45.0,1,0,1498,98.6,5,27.4,3.25,9,1
209,117.837,1,2,1582,126.32,5,22.32,4.75,10,1
210,30.0,1,0,1461,83.8,5,20.46,5.95,8,1
211,27.057,3,2,1591,121.3,5,15.29,8.15,7,1
212,8.5,3,0,998,67.0,5,20.51,4.22,6,0
213,30.5,3,0,1796,186.0,5,11.74,10.5,12,0
214,56.0,1,0,2967,246.7,5,11.8,45.0,10,0
215,44.0,3,2,1086,68.05,5,19.81,2.9,10,1
216,10.5,3,0,1598,103.52,5,14.3,8.9,5,0
217,26.0,3,0,1798,177.46,5,14.67,26.0,5,0
218,25.166,3,0,1197,81.86,5,17.19,8.22,4,1
219,64.0,1,2,1498,98.6,5,25.8,3.5,8,1
220,61.0,3,2,998,67.1,5,18.9,1.25,18,1
221,107.0,1,0,1461,65.0,5,21.03,3.7,9,1
222,29.161,1,0,2143,167.62,5,19.27,39.41,4,0
223,32.0,3,0,998,67.04,5,22.5,2.65,9,1
224,46.173,1,2,1461,108.5,5,19.01,8.92,7,1
225,47.0,1,0,1248,74.0,5,17.8,4.1,9,1
226,26.327,3,0,1998,189.08,4,16.82,35.67,5,0
227,200.0,1,2,1396,53.5,5,17.2,0.85,15,1
228,60.813,3,2,1199,76.8,5,18.6,3.32,6,1
229,45.0,1,0,1199,73.9,5,22.07,3.6,10,1
230,64.0,1,0,1248,74.0,5,22.9,6.8,6,1
231,41.284,1,0,1399,68.05,5,20.0,2.5,10,1
232,14.165,1,0,2755,171.5,7,11.36,19.64,3,0
233,67.0,1,2,2199,194.3,7,11.72,7.0,11,0
234,32.572,3,0,1497,117.3,5,17.4,3.87,11,1
235,14.96,3,0,1197,81.83,5,18.6,6.27,4,1
236,55.98,1,0,2143,167.62,5,19.27,18.12,7,0
237,74.0,1,0,936,57.6,5,25.44,2.65,9,1
238,56.847,1,0,1396,88.73,5,22.54,7.2,7,1
239,121.374,1,0,2494,100.6,7,12.99,14.3,7,1
240,52.0,1,0,1248,88.76,7,20.77,6.9,9,1
241,118.0,1,0,2494,102.0,7,12.8,10.75,8,1
242,72.0,3,3,1086,74.0,5,17.0,0.95,15,1
243,33.915,3,0,1497,117.3,5,17.8,8.09,6,1
244,82.002,1,0,1995,184.0,5,17.05,18.5,8,0
245,33.0,1,0,1120,70.0,5,24.0,4.75,5,1
246,34.0,1,0,1248,88.5,5,28.09,8.45,6,1
247,55.0,1,0,1598,103.6,5,20.5,3.5,10,1
248,160.538,1,0,1493,82.0,5,13.1,1.8,16,1
249,60.0,1,2,1498,103.6,5,19.91,3.7,8,1
250,49.575,3,0,1199,88.7,5,18.7,7.17,5,1
251,83.0,3,0,1086,68.05,5,19.81,1.75,12,1
252,51.346,1,0,1995,183.0,5,16.38,21.99,4,0
253,43.0,1,0,2393,147.8,7,13.68,18.65,5,1
254,35.0,3,3,796,35.0,5,19.7,1.85,11,1
255,27.872,3,2,1197,81.8,5,20.4,5.95,5,1
256,16.514,3,0,1197,82.0,5,18.9,3.75,8,1
257,120.0,1,0,1248,74.0,5,22.9,3.75,10,1
258,143.275,1,0,1582,126.2,5,22.0,2.6,14,1
260,52.0,3,0,1197,80.0,5,17.0,2.8,12,1
261,29.819,1,0,2987,254.79,5,11.57,61.29,5,0
262,57.0,1,2,2148,170.0,5,15.8,18.0,8,1
263,88.5,1,0,1248,73.94,5,23.2,4.35,8,1
264,28.0,1,0,1582,126.2,5,19.67,13.75,6,1
265,67.0,3,0,998,66.1,5,19.0,2.0,12,1
266,26.0,1,0,1461,108.45,5,19.64,10.0,6,1
267,120.0,1,0,1248,76.0,5,17.8,1.65,12,1
268,51.982,1,0,2993,258.0,5,16.55,45.77,5,0
269,36.0,3,2,1197,78.9,5,20.36,3.25,12,1
270,47.0,1,0,2494,102.0,7,12.8,12.8,6,1
271,60.0,3,3,993,60.0,5,17.3,0.55,20,1
272,31.025,1,0,1248,74.0,5,28.4,7.15,4,1
273,105.0,1,2,2179,120.0,8,12.05,7.0,9,1
274,121.9,1,0,1248,74.0,5,22.95,3.75,5,1
275,22.695,3,0,999,123.24,5,18.88,8.5,5,1
276,73.0,1,0,1248,74.0,5,23.4,4.35,10,1
277,32.227,3,0,796,47.3,5,22.74,3.26,6,1
278,55.0,3,0,1497,118.0,5,17.0,4.21,11,1
279,11.287,1,0,2967,241.4,7,12.07,70.36,4,0
280,48.0,1,2,1896,105.0,5,17.0,2.95,13,0
281,54.308,3,0,1591,121.3,5,17.1,4.28,10,1
282,78.442,3,0,1497,118.0,5,16.8,3.57,13,0
283,46.0,1,0,1396,88.8,5,21.9,3.11,9,1
284,45.051,3,0,1396,98.6,5,15.0,5.96,8,0
285,69.0,1,0,1598,103.6,5,20.54,4.7,11,1
286,49.0,3,0,1497,117.3,5,17.4,6.9,8,1
287,45.0,1,0,1248,74.0,5,22.95,5.25,4,1
288,64.0,1,0,1995,177.0,5,18.48,28.0,7,0
289,60.0,3,0,1061,67.0,5,18.9,1.35,13,1
290,62.178,3,0,1199,88.7,5,18.2,4.85,7,1
291,58.006,1,0,1896,105.0,5,15.0,6.7,10,1
292,74.0,3,0,1197,78.9,5,20.36,3.1,12,1
293,77.771,1,0,2143,170.0,5,19.27,18.64,7,0
294,45.275,3,0,1197,78.9,5,20.36,2.8,10,1
295,48.0,1,0,2393,147.8,7,13.68,20.25,6,1
296,31.652,1,0,1968,174.33,5,17.68,26.78,7,0
297,109.0,1,2,2494,100.6,7,12.99,8.26,12,1
298,31.978,3,0,1198,73.9,5,16.47,3.89,7,1
299,70.0,3,0,998,67.1,5,20.92,2.1,11,1
300,15.0,3,0,1497,117.3,5,18.0,12.69,5,0
301,59.138,1,0,1405,70.0,5,17.0,2.58,9,1
302,61.726,1,0,1968,174.33,5,17.68,20.77,8,0
303,48.0,1,0,2143,136.0,5,17.9,20.26,7,0
305,60.02,1,0,1248,74.0,5,17.8,2.5,11,1
306,77.815,3,0,998,67.04,5,23.1,4.25,8,0
307,29.0,1,0,2143,201.15,5,17.9,57.0,5,0
308,44.0,1,0,2179,187.7,5,12.7,44.0,5,0
309,108.626,1,0,1598,103.6,5,20.54,3.65,11,1
310,71.791,3,0,796,35.0,5,14.0,2.05,10,1
311,91.931,3,0,1198,86.8,5,18.5,3.13,10,1
312,158.0,1,2,2956,83.1,7,14.07,1.5,22,1
313,91.183,1,0,1248,75.0,5,18.0,2.85,10,1
314,65.0,3,0,998,67.1,5,18.9,2.65,10,1
315,88.428,1,0,2179,140.0,7,16.0,10.6,7,1
316,138.0,1,2,1396,70.0,5,17.1,1.25,14,1
317,18.0,3,0,1373,93.7,7,16.02,8.25,4,1
318,60.0,3,0,2354,177.6,5,11.7,4.45,11,0
319,48.0,1,0,1248,73.9,5,19.3,3.7,10,1
320,160.0,1,0,1399,68.0,5,17.8,2.8,13,1
321,40.0,3,0,1497,78.0,5,17.7,1.8,14,1
322,51.495,1,0,1968,174.33,5,17.68,21.95,8,0
324,97.43,1,0,2967,245.0,7,14.75,62.67,5,0
325,42.496,0,0,998,67.1,5,26.3,1.4,14,1
326,83.0,1,0,1396,90.0,5,23.0,5.5,10,1
327,37.0,3,3,1197,78.9,5,16.95,2.95,13,0
328,28.503,3,0,1199,88.7,5,19.0,6.86,6,0
329,76.496,1,0,1248,74.0,5,25.2,6.15,7,1
330,79.152,3,2,1197,82.85,5,18.5,3.3,11,1
331,32.0,3,0,1198,73.9,5,16.47,2.55,11,1
332,35.0,3,0,796,46.3,5,19.7,1.5,13,1
333,105.0,3,2,1794,125.0,5,11.3,2.5,18,0
334,56.0,3,2,796,46.3,5,19.7,1.4,16,1
335,73.0,1,0,1248,88.8,5,21.12,3.4,10,1
336,38.0,3,0,796,46.3,5,19.7,2.25,10,1
338,80.0,3,0,1794,125.0,5,11.3,2.8,14,0
339,24.973,3,0,1197,81.83,5,18.6,7.66,6,1
340,45.0,1,0,1248,88.5,5,24.3,7.15,6,1
341,87.43,3,0,1497,118.0,5,17.0,3.5,12,1
342,133.944,1,2,1248,75.0,5,18.0,3.5,8,1
343,57.0,1,0,1498,98.6,5,25.8,3.45,9,1
344,27.904,3,0,814,55.2,5,21.1,3.55,6,1
345,30.717,1,2,1995,190.0,5,21.76,25.99,7,0
346,80.0,1,0,1582,126.32,5,22.32,5.25,10,1
347,47.304,1,0,1248,88.8,5,21.02,2.9,9,1
348,100.0,3,0,1984,227.0,5,14.45,2.05,17,0
349,30.0,3,0,998,67.1,5,24.07,3.75,5,1
350,68.0,1,0,1498,89.84,5,22.7,6.75,8,1
351,21.0,3,2,995,62.0,5,18.0,0.95,11,1
352,21.0,1,0,1999,177.0,5,19.33,52.0,5,0
353,119.0,3,3,1997,141.1,5,13.1,3.91,15,1
354,13.747,3,0,1798,177.46,5,14.67,27.3,3,0
356,70.0,1,0,1248,74.0,5,22.9,3.5,9,1
357,18.0,3,0,1197,83.14,5,18.5,6.2,6,0
358,83.0,1,0,1461,63.1,5,23.08,2.75,11,1
359,130.0,1,0,1248,74.0,5,23.4,3.25,7,1
360,63.4,1,0,1399,67.0,5,17.8,3.25,10,1
361,65.0,3,0,993,60.0,5,17.3,0.65,19,1
362,8.35,3,0,1998,192.0,5,13.8,35.0,5,1
363,45.0,1,0,1364,67.05,5,23.59,3.25,8,1
364,26.2,3,0,796,47.3,5,24.7,2.9,4,1
365,11.0,3,3,796,47.0,5,18.9,2.9,11,1
366,90.0,1,2,2993,235.0,5,11.0,17.75,13,0
367,74.0,3,2,2496,179.5,5,11.07,8.25,7,0
368,37.081,3,0,1197,82.0,5,18.9,5.77,7,0
369,39.0,1,0,1248,88.5,5,24.3,9.49,5,1
370,99.0,1,3,2967,241.4,7,12.07,12.95,14,0
371,38.0,1,0,2143,136.0,5,17.9,20.0,7,0
372,72.0,3,3,796,37.0,4,16.1,1.0,15,1
373,93.0,1,2,1461,83.8,5,20.45,7.1,7,1
374,5.9,1,0,1364,87.2,5,21.43,16.5,5,1
375,25.0,1,0,2148,170.0,5,15.8,26.0,8,1
376,68.0,1,2,1248,73.9,5,21.1,3.2,12,1
377,35.676,3,0,1497,117.3,7,16.0,9.48,5,0
378,74.31,1,0,1120,71.0,5,24.4,4.0,7,1
379,59.364,1,0,2143,203.0,5,14.21,26.5,8,0
380,41.38,3,2,1595,120.7,5,14.8,11.77,8,0
381,33.9,1,0,2143,204.0,5,15.0,37.0,5,0
382,28.0,3,0,1497,117.3,5,17.8,8.75,6,1
383,50.958,3,0,1086,74.0,5,17.0,1.95,15,1
384,93.982,3,0,1497,118.0,5,17.0,3.75,11,1
385,95.0,3,0,1599,103.2,5,16.2,2.5,12,1
386,9.0,3,0,1999,246.74,5,13.5,34.5,5,0
387,52.516,3,0,1198,86.7,5,18.0,4.65,7,1
388,20.0,3,0,1598,122.0,4,18.86,32.0,7,0
389,56.451,1,0,2987,282.0,5,13.5,62.81,5,0
390,37.0,3,0,814,55.2,5,21.1,3.25,8,1
391,17.4,3,0,998,67.04,5,20.51,3.1,8,1
392,90.207,1,0,1248,73.9,5,21.1,3.91,11,1
393,89.616,1,0,1995,181.0,5,16.07,11.0,11,0
394,85.0,1,0,2179,138.03,5,13.49,3.5,8,1
395,79.271,1,0,1968,143.0,5,20.38,16.5,8,0
396,56.0,1,0,2179,187.7,5,12.7,30.0,10,0
397,85.001,1,2,2987,224.0,7,12.0,28.0,12,0
398,12.0,1,0,2477,175.56,7,13.5,28.0,4,0
399,125.0,3,0,796,46.3,5,19.7,0.92,12,1
400,53.0,3,0,1061,64.0,5,14.0,2.75,9,1
401,34.99,1,0,2179,187.7,5,12.7,53.83,5,0
402,49.768,3,2,1591,121.3,5,17.01,4.95,11,1
403,56.0,1,0,2993,218.0,5,16.73,33.5,9,0
404,75.0,1,0,2993,270.9,5,14.74,27.95,9,0
405,57.0,3,0,1798,157.75,5,13.7,7.25,12,0
406,37.542,1,0,1968,174.33,5,15.73,25.71,5,0
407,95.649,1,0,2179,187.7,5,12.7,29.67,8,0
408,35.299,1,0,2143,170.0,5,14.84,19.0,9,0
409,28.464,1,0,2179,120.0,7,15.4,13.05,5,1
410,41.0,1,0,1995,190.0,5,21.76,25.5,7,0
411,9.0,3,0,1497,117.3,7,15.4,8.5,5,1
412,92.098,1,2,2400,215.0,5,16.0,7.25,12,0
413,5.834,3,0,1495,94.0,5,13.2,0.8,17,1
414,40.25,3,0,1197,81.86,5,17.19,6.9,5,1
416,20.8,3,2,814,55.2,5,21.1,2.25,7,1
417,40.322,3,0,1197,81.86,5,18.9,5.5,4,1
418,52.576,3,0,1493,100.0,5,13.0,4.35,9,1
419,55.0,3,0,1198,73.9,5,16.47,2.25,12,1
420,47.0,3,0,1798,187.74,5,15.26,24.5,6,0
422,23.163,3,0,1591,121.3,5,15.29,12.03,5,1
423,50.0,3,2,1796,186.0,5,11.74,8.5,11,0
424,11.9,3,0,1998,189.08,4,16.82,28.5,8,0
425,108.0,3,2,1086,74.0,5,17.0,1.2,16,1
426,37.0,1,0,1364,67.04,5,23.59,5.75,9,1
427,30.0,3,2,1198,86.8,5,19.4,3.2,8,1
428,12.831,3,0,1197,83.1,5,21.4,9.89,4,0
429,143.017,1,0,1968,138.1,5,20.0,6.58,10,0
430,13.102,3,0,814,55.2,5,21.1,4.06,4,1
431,24.95,1,0,1461,108.45,5,20.37,13.37,3,1
432,57.832,1,0,2993,258.0,5,16.2,25.82,11,0
433,34.267,3,0,796,47.3,5,22.74,3.74,6,1
434,33.0,1,2,1984,150.0,5,16.8,22.0,7,0
435,55.1,3,0,998,67.1,5,18.9,1.45,15,1
436,40.0,3,0,1497,78.0,5,17.7,2.0,14,1
437,31.841,0,0,1196,73.0,5,15.1,4.7,5,1
438,15.0,3,0,1399,98.79,8,13.7,3.75,8,1
439,82.756,1,0,2523,62.1,7,15.96,7.7,6,1
441,20.6,3,0,814,55.2,5,21.1,2.6,8,1
442,29.952,3,0,1591,121.3,5,13.0,13.77,5,0
443,15.0,3,2,1598,103.5,5,16.09,7.1,5,1
444,61.938,3,2,1799,130.0,5,12.9,2.65,14,0
445,67.0,1,0,1248,74.0,5,22.3,2.5,8,1
446,61.672,1,0,2179,140.0,7,16.0,7.53,9,1
447,26.185,3,0,1197,81.83,5,18.6,7.98,5,1
448,38.0,1,2,1968,174.3,5,14.16,39.0,8,0
449,67.0,3,2,1197,85.8,5,18.5,2.25,11,1
450,66.0,3,2,1999,114.0,5,13.17,3.85,12,1
451,80.883,1,0,2494,102.0,7,12.8,13.5,7,1
452,80.219,1,0,793,47.0,5,27.62,3.5,6,1
453,12.923,1,0,1248,88.5,5,25.1,8.92,4,1
454,86.642,1,0,1968,181.0,5,15.17,20.37,6,0
455,19.235,1,0,1995,190.0,5,21.76,36.5,6,0
457,6.8,3,0,1197,81.83,5,18.6,7.2,6,1
458,82.749,1,0,1461,108.45,5,19.01,5.99,10,1
459,51.0,1,0,1120,71.0,5,24.4,5.25,6,1
460,31.465,1,0,1498,89.84,5,22.7,6.5,8,1
461,76.476,3,0,1198,73.9,5,16.47,4.4,9,1
462,14.0,1,0,1120,70.0,5,24.0,4.6,5,1
463,47.0,1,0,1248,88.8,5,21.12,2.95,9,1
464,48.466,3,0,1497,118.0,5,17.0,3.26,11,1
