,Name,Manufacturer,Location,km_Driven,Fuel_Type,Owner_Type,Engine CC,Power(bhp),Seats,Mileage Km/L,Price,Brand,No of Years,Transmission_Manual
25,Honda City Corporate Edition,Honda,Mumbai,51.92,Petrol,First,1497,116.3,5,16.8,4.25,Honda,10,1
26,Nissan Micra Diesel XV,Nissan,Hyderabad,54.0,Diesel,First,1461,63.1,5,23.08,4.25,Nissan,10,1
27,Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,54.0,Petrol,Second,998,67.1,5,20.92,2.75,Maruti,9,1
28,Honda WRV i-VTEC VX,Honda,Kochi,37.43,Petrol,First,1199,88.7,5,17.5,9.9,Honda,4,1
29,Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,262.0,Diesel,Fourth,2494,102.0,7,12.8,4.0,Toyota,15,1
30,Renault Duster 110PS Diesel RxZ Pack,Renault,Bangalore,62.0,Diesel,First,1461,108.45,5,19.01,7.75,Renault,9,1
31,Toyota Corolla Altis G,Toyota,Delhi,87.615,Petrol,First,1798,138.1,5,14.53,6.75,Toyota,10,1
32,Mahindra Ssangyong Rexton RX7,Mahindra,Bangalore,72.0,Diesel,Second,2696,184.0,7,11.18,12.5,Mahindra,9,0
33,Audi A6 2.7 TDI,Audi,Kolkata,35.0,Diesel,First,2698,179.5,5,12.4,11.5,Audi,12,0
34,Volkswagen Vento 1.6 Highline,Volkswagen,Coimbatore,55.431,Petrol,Second,1598,103.5,5,16.09,6.98,Volkswagen,8,1
35,Maruti Wagon R LXI BSIII,Maruti,Jaipur,83.816,Petrol,Second,1061,64.0,5,14.0,1.85,Maruti,13,1
36,Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,50.075,Diesel,First,1248,88.5,5,24.3,8.63,Maruti,4,1
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Delhi,52.0,Petrol,First,1198,82.0,5,18.15,4.85,Mahindra,5,1
38,Mercedes-Benz M-Class ML 350 CDI,MercedesBenz,Pune,85.0,Diesel,First,2987,254.8,5,11.74,28.0,Mercedes-Benz,9,0
39,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Chennai,62.0,Diesel,First,1199,73.9,5,22.07,5.0,Volkswagen,9,1
40,Maruti Alto LXi,Maruti,Delhi,90.0,Petrol,Second,796,46.3,5,19.7,1.25,Maruti,14,1
41,Tata Nano LX SE,Tata,Kochi,19.698,Petrol,First,624,37.5,4,25.4,1.53,Tata,8,1
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,22.033,Diesel,First,1198,77.0,6,25.32,5.58,Mahindra,5,1
43,Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,35.487,Petrol,First,1197,82.9,5,18.5,4.74,Hyundai,8,1
44,Hyundai Elantra 2.0 SX Option AT,Hyundai,Bangalore,46.374,Petrol,First,1999,149.92,5,14.62,8.85,Hyundai,8,0
45,Toyota Corolla Altis G AT,Toyota,Mumbai,52.001,Petrol,First,1798,138.03,5,14.28,10.11,Toyota,6,0
46,Hyundai Elantra CRDi,Hyundai,Ahmedabad,58.005,Diesel,Second,1991,112.2,5,14.9,4.25,Hyundai,14,1
47,Toyota Innova Crysta 2.7 GX MT,Toyota,Bangalore,70.704,Petrol,First,2694,163.7,7,11.25,10.95,Toyota,10,1
48,Hyundai Xcent 1.1 CRDi S,Hyundai,Jaipur,75.0,Diesel,First,1120,71.0,5,24.4,3.85,Hyundai,8,1
49,Mahindra Thar CRDe AC,Mahindra,Jaipur,75.8,Diesel,Second,2498,105.0,6,16.55,5.5,Mahindra,10,1
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,13.648,Diesel,First,1968,174.33,5,17.11,21.43,Audi,7,0
51,Maruti Swift LDI,Maruti,Delhi,52.0,Diesel,First,1248,74.0,5,22.9,4.25,Maruti,8,1
52,Maruti Swift Ldi BSIV,Maruti,Kolkata,53.0,Diesel,First,1248,75.0,5,17.8,3.3,Maruti,8,1
53,Maruti Swift VDI,Maruti,Delhi,65.65,Diesel,First,1248,74.0,5,28.4,3.85,Maruti,9,1
54,Hyundai Grand i10 Sportz,Hyundai,Chennai,54.0,Petrol,Third,1197,82.0,5,18.9,3.6,Hyundai,7,1
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Kolkata,39.0,Petrol,First,1598,103.2,5,15.04,3.99,Volkswagen,7,1
56,Renault KWID RXT,Renault,Kochi,16.542,Petrol,First,799,53.3,5,25.17,3.3,Renault,5,1
57,Hyundai i10 Asta,Hyundai,Kolkata,32.0,Petrol,First,1197,78.9,5,20.36,2.07,Hyundai,12,1
58,Nissan X-Trail SLX AT,Nissan,Hyderabad,121.812,Diesel,First,1995,147.6,5,13.29,7.75,Nissan,12,0
59,Maruti Zen Estilo VXI BSIII,Maruti,Hyderabad,39.3,Petrol,First,998,67.1,5,18.2,2.25,Maruti,12,1
60,Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,22.0,Diesel,First,2393,147.8,8,13.68,16.5,Toyota,5,1
61,Ford Figo Diesel Titanium,Ford,Bangalore,72.0,Diesel,First,1399,68.0,5,20.0,2.75,Ford,12,1
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,MercedesBenz,Delhi,58.0,Petrol,First,1796,186.0,5,11.74,26.7,Mercedes-Benz,7,0
63,Mercedes-Benz New C-Class 200 CDI Classic,MercedesBenz,Pune,65.0,Diesel,Second,2148,170.0,5,15.8,10.0,Mercedes-Benz,11,1
64,Tata Indica V2 eLS,Tata,Chennai,178.0,Diesel,First,1396,69.0,5,25.0,2.5,Tata,6,1
65,Audi A4 2.0 TDI Multitronic,Audi,Jaipur,65.664,Diesel,First,1968,140.0,5,16.55,13.5,Audi,10,0
66,Honda City ZX CVT,Honda,Mumbai,63.0,Petrol,Second,1497,78.0,5,16.4,1.85,Honda,15,0
68,Maruti Ertiga SHVS VDI,Maruti,Pune,63.0,Diesel,First,1248,88.5,7,24.52,8.15,Maruti,6,1
69,Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,13.0,Diesel,First,1396,88.7,5,22.1,10.5,Hyundai,4,1
71,Mahindra XUV500 W8 4WD,Mahindra,Mumbai,55.729,Diesel,First,2179,140.0,7,15.1,9.65,Mahindra,7,1
72,Hyundai i10 Sportz 1.2 AT,Hyundai,Kochi,45.178,Petrol,First,1197,78.9,5,16.95,3.48,Hyundai,10,0
73,Nissan Terrano XV D Pre,Nissan,Kochi,56.066,Diesel,First,1461,108.5,5,19.64,6.92,Nissan,7,1
74,Honda Brio VX AT,Honda,Coimbatore,37.3,Petrol,Second,1198,86.8,5,16.5,6.46,Honda,6,0
75,Audi A6 2.0 TDI Design Edition,Audi,Delhi,56.0,Diesel,Second,1968,187.74,5,18.53,29.5,Audi,8,0
76,Ford Fiesta 1.4 SXi TDCi,Ford,Jaipur,111.111,Diesel,First,1399,74.0,5,17.8,2.0,Ford,14,1
77,Toyota Innova 2.0 G1,Toyota,Chennai,230.0,Petrol,Third,1998,132.0,8,12.4,4.5,Toyota,16,1
78,Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Hyderabad,104.0,Diesel,First,2494,102.0,7,12.8,11.75,Toyota,10,1
80,Maruti Swift VDI,Maruti,Jaipur,95.1,Diesel,First,1248,74.0,5,22.9,3.75,Maruti,10,1
81,Tata Zest Revotron 1.2T XE,Tata,Pune,70.0,Petrol,First,1193,88.7,5,17.57,4.5,Tata,5,1
82,Honda Amaze SX i-VTEC,Honda,Kochi,54.944,Petrol,First,1198,86.7,5,18.0,4.82,Honda,6,1
83,Ford Figo Diesel ZXI,Ford,Hyderabad,70.337,Diesel,First,1399,68.0,5,20.0,2.8,Ford,10,1
84,Maruti Ritz VDi,Maruti,Jaipur,99.638,Diesel,First,1248,73.94,5,23.2,3.11,Maruti,9,1
85,Honda City i VTEC E,Honda,Delhi,52.0,Petrol,First,1497,117.3,5,17.8,3.25,Honda,13,1
86,BMW 5 Series 2003-2012 525d,BMW,Delhi,75.0,Diesel,Second,1995,218.0,5,16.73,13.9,BMW,11,0
87,Hyundai i10 Sportz 1.2,Hyundai,Pune,95.98,Petrol,First,1197,78.9,5,20.36,2.25,Hyundai,13,1
88,Hyundai Grand i10 Sportz,Hyundai,Bangalore,16.0,Petrol,First,1197,82.0,5,18.9,5.75,Hyundai,6,1
89,Hyundai Santro Xing XO,Hyundai,Hyderabad,73.745,Petrol,First,1086,74.0,5,17.0,2.1,Hyundai,15,1
90,Honda Amaze SX i-VTEC,Honda,Mumbai,18.949,Petrol,First,1198,86.7,5,17.8,5.0,Honda,6,1
91,Toyota Fortuner 4x2 Manual,Toyota,Delhi,107.0,Diesel,First,2982,168.5,7,13.0,16.5,Toyota,8,1
92,Audi A6 2011-2015 35 TDI Premium,Audi,Coimbatore,48.367,Diesel,First,1968,174.33,5,17.68,39.58,Audi,4,0
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Delhi,57.0,Diesel,First,1498,89.84,5,22.7,5.5,Ford,9,1
94,Mahindra XUV500 W8 2WD,Mahindra,Delhi,58.0,Diesel,First,2179,140.0,7,15.1,8.1,Mahindra,8,1
95,Honda Amaze SX i-DTEC,Honda,Kolkata,30.0,Diesel,First,1498,98.6,5,25.8,3.5,Honda,7,1
96,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,34.212,Diesel,First,1199,73.9,5,22.07,2.79,Volkswagen,9,1
97,Hyundai Verna Transform SX VGT CRDi,Hyundai,Ahmedabad,70.002,Diesel,First,1493,110.0,5,16.2,3.45,Hyundai,12,1
98,Maruti Wagon R VXI BS IV,Maruti,Bangalore,62.0,Petrol,First,998,67.1,5,18.9,4.45,Maruti,6,1
99,Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Delhi,62.001,Petrol,First,1598,103.5,5,15.26,2.65,Volkswagen,12,1
100,Hyundai i20 1.4 CRDi Sportz,Hyundai,Pune,78.958,Diesel,Second,1396,90.0,5,23.0,3.8,Hyundai,11,1
101,Hyundai i20 Asta 1.2,Hyundai,Mumbai,30.18,Petrol,First,1197,82.85,5,18.5,4.65,Hyundai,8,1
102,Datsun GO Plus T Petrol,Datsun,Pune,32.851,Petrol,First,1198,67.0,7,19.83,3.95,Datsun,5,1
103,Audi A4 3.0 TDI Quattro Premium,Audi,Kolkata,30.0,Diesel,First,2967,241.4,5,14.94,9.8,Audi,12,0
104,Hyundai i20 2015-2017 Asta,Hyundai,Pune,66.0,Petrol,Second,1197,80.0,5,17.0,2.7,Hyundai,13,1
105,Maruti Omni 5 Str STD,Maruti,Coimbatore,93.85,Petrol,First,796,35.0,5,14.0,2.41,Maruti,12,1
106,Toyota Etios Liva 1.2 G,Toyota,Ahmedabad,53.0,Petrol,First,1197,78.9,5,17.71,3.9,Toyota,8,1
107,Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Hyderabad,78.0,Diesel,Second,2993,270.9,5,14.74,24.0,Jaguar,11,0
108,Mahindra XUV500 W8 2WD,Mahindra,Delhi,65.0,Diesel,Second,2179,140.0,7,16.0,5.75,Mahindra,10,1
109,Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kolkata,40.0,Diesel,First,1582,126.32,5,22.32,5.25,Hyundai,8,0
110,Toyota Innova Crysta 2.8 ZX AT,Toyota,Mumbai,30.0,Diesel,First,2755,171.5,7,11.36,19.25,Toyota,5,0
111,Maruti Eeco 5 Seater AC,Maruti,Coimbatore,38.053,Petrol,First,1196,73.0,5,15.1,3.91,Maruti,5,1
112,Tata Nano Twist XT,Tata,Bangalore,25.5,Petrol,First,624,37.5,4,25.4,2.15,Tata,8,1
113,BMW 3 Series 320d Luxury Line,BMW,Mumbai,56.087,Diesel,First,1995,190.0,5,22.69,20.75,BMW,7,0
114,Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,71.088,Petrol,First,1799,130.0,5,13.5,3.35,Honda,12,1
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Ahmedabad,55.0,Diesel,First,2494,100.6,7,12.99,11.11,Toyota,8,1
116,Volvo V40 Cross Country D3,Volvo,Bangalore,32.7,Diesel,First,1984,150.0,5,23.3,20.0,Volvo,8,0
117,Nissan Micra XV CVT,Nissan,Coimbatore,39.882,Petrol,First,1198,75.94,5,19.15,6.55,Nissan,6,0
118,BMW 5 Series 2010-2013 525i,BMW,Mumbai,128.0,Petrol,First,2497,215.0,5,10.8,7.0,BMW,13,0
119,Maruti Vitara Brezza VDi,Maruti,Mumbai,55.0,Diesel,First,1248,88.5,5,24.3,7.5,Maruti,6,1
120,Hyundai Santro Xing XL eRLX Euro III,Hyundai,Mumbai,102.0,Petrol,Second,1086,74.0,5,17.0,0.85,Hyundai,17,1
121,Mercedes-Benz B Class B200 CDI,MercedesBenz,Pune,53.753,Diesel,Second,2143,107.3,5,15.0,16.75,Mercedes-Benz,8,0
122,Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kolkata,10.25,Diesel,First,1582,126.2,5,22.0,10.95,Hyundai,4,1
123,Maruti Wagon R LXI BS IV,Maruti,Pune,43.874,Petrol,First,998,67.1,5,18.9,2.45,Maruti,11,1
124,Tata Nano XTA,Tata,Coimbatore,32.684,Petrol,First,624,37.48,4,21.9,3.23,Tata,5,0
125,Mahindra Scorpio VLX,Mahindra,Kolkata,42.0,Diesel,First,2179,120.0,8,12.05,7.75,Mahindra,8,1
126,Mercedes-Benz New C-Class 200 K AT,MercedesBenz,Kolkata,28.352,Petrol,First,1796,178.0,5,11.7,9.35,Mercedes-Benz,13,0
127,Maruti Wagon R LXI CNG,Maruti,Pune,89.9,CNG,First,998,58.16,5,26.6,3.25,Maruti,9,1
128,Honda CR-V 2.4 MT,Honda,Bangalore,47.7,Petrol,Second,2354,152.0,5,10.8,5.25,Honda,15,1
129,Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,Pune,55.0,Diesel,First,1498,103.2,5,21.21,7.25,Volkswagen,7,0
130,Maruti Ciaz VXi Plus,Maruti,Kochi,44.285,Petrol,First,1373,91.1,5,20.73,7.47,Maruti,5,1
131,Mahindra XUV500 AT W10 FWD,Mahindra,Jaipur,54.0,Diesel,First,2179,140.0,7,16.0,13.25,Mahindra,6,0
132,Maruti Ritz VXI ABS,Maruti,Coimbatore,30.232,Petrol,First,1197,85.8,5,21.1,5.81,Maruti,6,1
133,Maruti Alto K10 VXI,Maruti,Hyderabad,88.5,Petrol,First,998,67.1,5,24.07,2.6,Maruti,8,1
135,Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,12.645,Petrol,First,1591,121.3,5,17.0,11.5,Hyundai,3,0
136,Maruti Alto LXi BSIII,Maruti,Chennai,94.385,Petrol,Second,796,46.3,5,19.7,1.6,Maruti,12,1
137,BMW 1 Series 118d Base,BMW,Coimbatore,31.821,Diesel,First,1995,143.0,5,20.58,17.22,BMW,7,0
138,Honda Jazz 1.2 V CVT i VTEC,Honda,Mumbai,12.0,Petrol,First,1199,88.7,5,19.0,6.0,Honda,7,0
139,Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,88.578,Petrol,First,1799,130.0,5,13.5,3.95,Honda,10,1
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,MercedesBenz,Kochi,44.965,Diesel,First,2143,170.0,5,19.27,17.95,Mercedes-Benz,8,0
141,Honda Amaze SX i-DTEC,Honda,Kolkata,45.044,Diesel,First,1498,98.6,5,25.8,3.7,Honda,8,1
142,Maruti Swift VVT VXI,Maruti,Kochi,34.204,Petrol,First,1197,81.8,5,22.0,5.43,Maruti,6,1
143,Hyundai Santro Xing XO eRLX Euro II,Hyundai,Kochi,80.759,Petrol,Third,1086,74.0,5,17.0,1.67,Hyundai,14,1
144,Toyota Fortuner 3.0 Diesel,Toyota,Coimbatore,91.235,Diesel,First,2982,171.0,7,11.5,13.49,Toyota,10,1
145,Chevrolet Beat LT Option,Chevrolet,Pune,38.8,Petrol,First,1199,76.8,5,18.6,2.85,Chevrolet,8,1
146,Skoda Rapid 1.5 TDI Elegance,Skoda,Chennai,83.0,Diesel,First,1498,103.52,5,21.14,4.75,Skoda,9,1
147,Maruti Ciaz 1.4 Alpha,Maruti,Kochi,41.283,Petrol,First,1373,91.1,5,20.73,9.9,Maruti,4,1
149,BMW 3 Series Luxury Line,BMW,Mumbai,48.0,Diesel,First,1995,190.0,5,21.76,26.5,BMW,8,0
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Coimbatore,48.214,Diesel,First,1968,174.33,5,17.11,23.32,Audi,7,0
151,Maruti Swift VDI,Maruti,Chennai,35.0,Diesel,First,1248,74.0,5,22.9,6.25,Maruti,6,1
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,Coimbatore,54.62,Diesel,First,1498,103.52,5,21.66,9.86,Skoda,6,0
154,Skoda Superb Elegance 2.0 TDI CR AT,Skoda,Pune,136.997,Diesel,First,1968,138.1,5,17.2,8.5,Skoda,10,0
155,Hyundai EON Magna Plus,Hyundai,Kochi,14.322,Petrol,First,814,55.2,5,21.1,4.23,Hyundai,3,1
156,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Jaipur,65.634,Diesel,First,1199,73.9,5,22.07,3.5,Volkswagen,10,1
157,Datsun GO NXT,Datsun,Kolkata,6.0,Petrol,First,1198,67.06,5,20.63,2.5,Datsun,6,1
158,Honda Brio S MT,Honda,Kolkata,33.28,Petrol,First,1198,86.8,5,19.4,2.39,Honda,9,1
159,Mercedes-Benz B Class B180,MercedesBenz,Delhi,29.0,Petrol,First,1595,120.7,5,14.8,11.25,Mercedes-Benz,9,0
160,Honda City i DTEC V,Honda,Kochi,42.831,Diesel,First,1498,98.6,5,26.0,7.11,Honda,7,1
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Ahmedabad,90.0,Diesel,First,2494,100.6,7,12.99,10.9,Toyota,6,1
162,Maruti Swift VXI Optional,Maruti,Ahmedabad,24.005,Petrol,First,1197,81.8,5,20.4,6.2,Maruti,5,1
163,Mahindra XUV500 W8 2WD,Mahindra,Mumbai,32.792,Diesel,First,2179,140.0,7,15.1,7.9,Mahindra,10,1
164,Ford Ecosport 1.5 DV5 MT Ambiente,Ford,Kochi,147.898,Diesel,First,1498,89.84,5,22.7,4.42,Ford,8,1
165,Toyota Fortuner 4x2 Manual,Toyota,Mumbai,131.765,Diesel,First,2982,168.5,7,13.0,13.5,Toyota,10,1
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,Chennai,65.0,Diesel,First,1498,108.5,5,21.5,6.25,Volkswagen,9,0
167,Ford Figo Diesel Titanium,Ford,Jaipur,66.123,Diesel,Second,1399,68.0,5,20.0,2.1,Ford,12,1
168,BMW X5 xDrive 30d,BMW,Mumbai,41.0,Diesel,First,2993,258.0,5,15.3,45.0,BMW,7,0
169,Mercedes-Benz New C-Class C 220 CDI Style,MercedesBenz,Coimbatore,23.55,Diesel,First,2143,167.62,5,19.27,33.66,Mercedes-Benz,5,0
170,Honda Brio V MT,Honda,Bangalore,45.0,Petrol,Second,1198,86.8,5,19.4,3.65,Honda,10,1
171,Hyundai i10 Magna 1.2,Hyundai,Delhi,60.0,Petrol,First,1197,78.9,5,20.36,2.75,Hyundai,9,1
172,Mercedes-Benz GLC 220,MercedesBenz,Bangalore,44.414,Diesel,First,2143,170.0,5,17.9,42.5,Mercedes-Benz,6,0
173,Hyundai Grand i10 1.2 Kappa Asta,Hyundai,Kolkata,1.0,Petrol,First,1197,81.86,5,18.9,6.5,Hyundai,3,1
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,62.5,Diesel,Second,1968,174.33,5,17.68,19.0,Audi,10,0
175,Volkswagen Vento Petrol Highline AT,Volkswagen,Mumbai,21.0,Petrol,Second,1598,103.6,5,14.4,4.45,Volkswagen,9,0
176,Mini Countryman Cooper D,Mini,Jaipur,8.525,Diesel,Second,1998,112.0,5,16.6,23.0,Mini,5,0
177,Hyundai i20 Asta 1.4 CRDi,Hyundai,Bangalore,29.0,Diesel,First,1396,88.73,5,22.54,8.35,Hyundai,8,1
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,40.0,Diesel,First,1968,174.33,5,17.68,22.95,Audi,8,0
179,Chevrolet Beat Diesel LT,Chevrolet,Jaipur,88.0,Diesel,First,936,57.6,5,25.44,1.5,Chevrolet,10,1
180,Skoda Superb Elegance 1.8 TSI AT,Skoda,Kochi,53.537,Petrol,First,1798,157.75,5,13.7,6.89,Skoda,10,0
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Ford,Chennai,216.0,Diesel,Second,1399,68.0,5,17.8,1.45,Ford,16,1
182,BMW 5 Series 520d Luxury Line,BMW,Hyderabad,51.0,Diesel,First,1995,190.0,5,22.48,33.5,BMW,8,0
183,Chevrolet Optra Magnum 1.6 LS BS3,Chevrolet,Jaipur,118.5,Petrol,First,1598,102.5,5,12.9,1.25,Chevrolet,15,1
184,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Hyderabad,63.0,Diesel,First,1199,73.9,5,22.07,4.2,Volkswagen,10,1
185,Renault Lodgy 110PS RxZ 8 Seater,Renault,Mumbai,25.0,Diesel,First,1461,108.5,8,19.98,6.75,Renault,7,1
186,Mercedes-Benz E-Class E250 CDI Avantgrade,MercedesBenz,Bangalore,37.382,Diesel,First,2143,201.1,5,13.0,32.0,Mercedes-Benz,8,0
187,Maruti Baleno Alpha,Maruti,Kochi,24.773,Petrol,First,1197,83.1,5,21.4,7.5,Maruti,5,1
188,Hyundai Verna 1.6 SX,Hyundai,Delhi,62.0,Diesel,First,1582,126.32,5,22.32,4.6,Hyundai,10,1
189,Hyundai i10 Magna 1.1,Hyundai,Kochi,52.34,Petrol,First,1086,68.05,5,19.81,4.04,Hyundai,5,1
190,Mahindra Scorpio 1.99 S10 4WD,Mahindra,Kochi,56.739,Diesel,First,1997,120.0,7,15.4,10.31,Mahindra,6,1
191,Land Rover Range Rover 2.2L Dynamic,Land,Coimbatore,36.091,Diesel,First,2179,187.7,5,12.7,55.76,Land,4,0
192,Ford Figo Diesel ZXI,Ford,Chennai,120.0,Diesel,First,1399,68.0,5,20.0,2.6,Ford,12,1
193,Maruti Ertiga ZDI,Maruti,Mumbai,33.0,Diesel,First,1248,88.5,7,25.47,8.5,Maruti,6,1
194,Honda Amaze S i-Dtech,Honda,Kolkata,52.0,Diesel,First,1498,98.6,5,25.8,3.5,Honda,8,1
195,Hyundai i10 Magna,Hyundai,Jaipur,43.571,Petrol,First,1197,78.9,5,20.36,3.55,Hyundai,7,1
196,Honda Amaze S i-Dtech,Honda,Kolkata,50.0,Diesel,First,1498,98.6,5,25.8,3.25,Honda,9,1
197,Skoda Laura Ambiente,Skoda,Hyderabad,113.0,Diesel,First,1896,106.0,5,17.5,4.5,Skoda,14,1
198,Renault Duster 85PS Diesel RxL,Renault,Delhi,90.0,Diesel,First,1461,83.8,5,19.87,5.35,Renault,8,1
199,Mahindra NuvoSport N6,Mahindra,Chennai,29.0,Diesel,Second,1493,100.0,7,17.45,6.5,Mahindra,5,1
200,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Mumbai,20.0,Diesel,First,1248,88.5,5,24.3,9.0,Maruti,6,1
201,Hyundai i20 Asta Option 1.2,Hyundai,Kochi,61.012,Petrol,First,1197,81.83,5,18.6,6.0,Hyundai,6,1
202,Skoda Fabia 1.4 MPI Ambiente,Skoda,Jaipur,87.459,Petrol,First,1390,85.0,5,14.7,2.75,Skoda,13,1
203,Tata Indigo eCS GLX,Tata,Pune,70.5,Petrol,First,1193,64.1,5,15.64,1.5,Tata,12,1
204,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,Delhi,64.103,Diesel,First,1968,174.33,5,15.73,19.9,Audi,7,0
205,Skoda Octavia Elegance 1.8 TSI AT,Skoda,Mumbai,76.0,Petrol,First,1798,177.5,5,14.7,10.0,Skoda,8,0
206,Toyota Etios Liva GD SP,Toyota,Delhi,104.0,Diesel,First,1364,67.06,5,23.59,3.0,Toyota,8,1
207,Mercedes-Benz B Class B180,MercedesBenz,Kochi,37.245,Petrol,First,1595,120.7,5,14.8,11.96,Mercedes-Benz,8,0
